user_id,has_pay,pay_count,first_pay_item,last_pay_item,has_refund,refund_count,has_repurchase,pay_intervals_days,first_pay_ts,last_pay_ts,first_event_ts,last_event_ts,total_events,is_refund_churn,is_non_renewal_churn,is_churn_overall
u1,1,1,p157,p157,0,0,0,,1567083992237.0,1567083992237.0,1565096151269.0,1569647680211.0,3995,0,1,1
u1000,1,1,p87,p87,0,0,0,,1549218681827.0,1549218681827.0,1549163984295.0,1563784759551.0,8483,0,1,1
u100043,1,1,p141,p141,0,0,0,,1564949975752.0,1564949975752.0,1564815076929.0,1568356887184.0,4658,0,1,1
u10005,1,1,p164,p164,0,0,0,,1568748230673.0,1568748230673.0,1567237015739.0,1571182562823.0,4006,0,1,1
u10010,1,1,p128,p128,0,0,0,,1564327802623.0,1564327802623.0,1564327802623.0,1565258633999.0,915,0,1,1
u10011,1,1,p142,p142,0,0,0,,1564410249198.0,1564410249198.0,1564223876843.0,1566861741050.0,2343,0,1,1
u10020,1,1,p75,p75,0,0,0,,1553898650561.0,1553898650561.0,1553898650561.0,1567379099094.0,895,0,1,1
u10021,1,2,p72,p141,0,0,1,229.31,1545719575310.0,1565531919945.0,1545719575310.0,1565531919945.0,811,0,0,0
u10026,1,1,p162,p162,0,0,0,,1566603558993.0,1566603558993.0,1565272290194.0,1566649595906.0,577,0,1,1
u1003,1,1,p112,p112,0,0,0,,1560209147985.0,1560209147985.0,1560209147985.0,1564133168388.0,829,0,1,1
u10030,1,1,p136,p136,0,0,0,,1566844662426.0,1566844662426.0,1566844662426.0,1567643217861.0,1505,0,1,1
u10032,1,1,p115,p115,0,0,0,,1557635334697.0,1557635334697.0,1557635334697.0,1568550392903.0,2631,0,1,1
u10033,1,1,p91,p91,0,0,0,,1551880486899.0,1551880486899.0,1551880486899.0,1558591217551.0,7,0,1,1
u10057,1,2,p105,p124,0,0,1,92.42,1555089728922.0,1563074862585.0,1555089728922.0,1567308682671.0,2207,0,0,0
u10060,1,1,p141,p141,0,0,0,,1562767114126.0,1562767114126.0,1562767114126.0,1571352931240.0,4806,0,1,1
u10071,1,1,p138,p138,0,0,0,,1566872566224.0,1566872566224.0,1566872566224.0,1567524024193.0,1662,0,1,1
u10079,1,1,p96,p96,0,0,0,,1556419478104.0,1556419478104.0,1556419478104.0,1557633541410.0,192,0,1,1
