user_id,timestamp,datetime_utc,action_type,item_id,cursor_time,source,user_answer,platform
u247526,1535338844464.0,2018-08-27T03:00:44.464000+00:00,pay,p47,,,,
u247575,1535345800947.0,2018-08-27T04:56:40.947000+00:00,pay,p64,,,,
u247616,1535353833597.0,2018-08-27T07:10:33.597000+00:00,pay,p64,,,,
u247761,1535388772117.0,2018-08-27T16:52:52.117000+00:00,pay,p64,,,,
u247780,1535393449297.0,2018-08-27T18:10:49.297000+00:00,pay,p64,,,,
u247874,1535403237678.0,2018-08-27T20:53:57.678000+00:00,pay,p64,,,,
u247535,1535405800485.0,2018-08-27T21:36:40.485000+00:00,pay,p64,,,,
u247514,1535410173260.0,2018-08-27T22:49:33.260000+00:00,pay,p64,,,,
u247945,1535410922466.0,2018-08-27T23:02:02.466000+00:00,pay,p56,,,,
u247908,1535411170441.0,2018-08-27T23:06:10.441000+00:00,pay,p64,,,,
u247978,1535416662594.0,2018-08-28T00:37:42.594000+00:00,pay,p64,,,,
u247759,1535423216545.0,2018-08-28T02:26:56.545000+00:00,pay,p64,,,,
u248043,1535424020865.0,2018-08-28T02:40:20.865000+00:00,pay,p56,,,,
u247962,1535424806237.0,2018-08-28T02:53:26.237000+00:00,pay,p47,,,,
u247995,1535427517460.0,2018-08-28T03:38:37.460000+00:00,pay,p51,,,,
u247976,1535428331954.0,2018-08-28T03:52:11.954000+00:00,pay,p64,,,,
u248080,1535430747853.0,2018-08-28T04:32:27.853000+00:00,pay,p47,,,,
u248114,1535435957762.0,2018-08-28T05:59:17.762000+00:00,pay,p64,,,,
u248175,1535441554766.0,2018-08-28T07:32:34.766000+00:00,pay,p64,,,,
u248196,1535442372465.0,2018-08-28T07:46:12.465000+00:00,pay,p64,,,,
u248225,1535450200253.0,2018-08-28T09:56:40.253000+00:00,pay,p64,,,,
u248244,1535467334069.0,2018-08-28T14:42:14.069000+00:00,pay,p64,,,,
u248259,1535470492236.0,2018-08-28T15:34:52.236000+00:00,pay,p64,,,,
u248276,1535475021654.0,2018-08-28T16:50:21.654000+00:00,pay,p56,,,,
u248320,1535483848988.0,2018-08-28T19:17:28.988000+00:00,pay,p51,,,,
u248344,1535484992235.0,2018-08-28T19:36:32.235000+00:00,pay,p51,,,,
u248355,1535486909274.0,2018-08-28T20:08:29.274000+00:00,pay,p64,,,,
u247923,1535491257648.0,2018-08-28T21:20:57.648000+00:00,pay,p51,,,,
u248406,1535495261051.0,2018-08-28T22:27:41.051000+00:00,pay,p56,,,,
u248427,1535497588287.0,2018-08-28T23:06:28.287000+00:00,pay,p64,,,,
u248482,1535506332160.0,2018-08-29T01:32:12.160000+00:00,pay,p64,,,,
u248128,1535507067320.0,2018-08-29T01:44:27.320000+00:00,pay,p64,,,,
u248485,1535507252843.0,2018-08-29T01:47:32.843000+00:00,pay,p64,,,,
u248061,1535508189754.0,2018-08-29T02:03:09.754000+00:00,pay,p51,,,,
u4362,1535510410783.0,2018-08-29T02:40:10.783000+00:00,pay,p56,,,,
u248465,1535510588143.0,2018-08-29T02:43:08.143000+00:00,pay,p51,,,,
u248511,1535511895876.0,2018-08-29T03:04:55.876000+00:00,pay,p47,,,,
u247507,1535517709458.0,2018-08-29T04:41:49.458000+00:00,pay,p64,,,,
u248544,1535519626973.0,2018-08-29T05:13:46.973000+00:00,pay,p64,,,,
u248650,1535530758703.0,2018-08-29T08:19:18.703000+00:00,pay,p56,,,,
u248723,1535552634920.0,2018-08-29T14:23:54.920000+00:00,pay,p51,,,,
u248736,1535555925963.0,2018-08-29T15:18:45.963000+00:00,pay,p47,,,,
u248746,1535558717224.0,2018-08-29T16:05:17.224000+00:00,pay,p56,,,,
u248322,1535561267888.0,2018-08-29T16:47:47.888000+00:00,pay,p48,,,,
u247912,1535565293315.0,2018-08-29T17:54:53.315000+00:00,pay,p64,,,,
u247912,1535565351165.0,2018-08-29T17:55:51.165000+00:00,pay,p64,,,,
u247912,1535565438677.0,2018-08-29T17:57:18.677000+00:00,pay,p64,,,,
u247912,1535571675437.0,2018-08-29T19:41:15.437000+00:00,refund,p64,,,,
u247912,1535571679437.0,2018-08-29T19:41:19.437000+00:00,refund,p64,,,,
u247653,1535573966569.0,2018-08-29T20:19:26.569000+00:00,pay,p64,,,,
u247653,1535574000362.0,2018-08-29T20:20:00.362000+00:00,pay,p64,,,,
u248875,1535578255642.0,2018-08-29T21:30:55.642000+00:00,pay,p64,,,,
u248894,1535578680713.0,2018-08-29T21:38:00.713000+00:00,pay,p51,,,,
u247653,1535582623437.0,2018-08-29T22:43:43.437000+00:00,refund,p64,,,,
u248942,1535584730671.0,2018-08-29T23:18:50.671000+00:00,pay,p56,,,,
u248942,1535584936257.0,2018-08-29T23:22:16.257000+00:00,pay,p56,,,,
u248942,1535589072437.0,2018-08-30T00:31:12.437000+00:00,refund,p56,,,,
u248942,1535589076437.0,2018-08-30T00:31:16.437000+00:00,refund,p56,,,,
u248966,1535589421457.0,2018-08-30T00:37:01.457000+00:00,pay,p56,,,,
u248997,1535592961970.0,2018-08-30T01:36:01.970000+00:00,pay,p51,,,,
u249045,1535598425774.0,2018-08-30T03:07:05.774000+00:00,pay,p51,,,,
u249065,1535600685667.0,2018-08-30T03:44:45.667000+00:00,pay,p64,,,,
u249119,1535606707934.0,2018-08-30T05:25:07.934000+00:00,pay,p64,,,,
u249130,1535608393830.0,2018-08-30T05:53:13.830000+00:00,pay,p56,,,,
u248958,1535609445108.0,2018-08-30T06:10:45.108000+00:00,pay,p56,,,,
u249060,1535610409884.0,2018-08-30T06:26:49.884000+00:00,pay,p64,,,,
u249109,1535610578899.0,2018-08-30T06:29:38.899000+00:00,pay,p51,,,,
u249149,1535611018245.0,2018-08-30T06:36:58.245000+00:00,pay,p56,,,,
u248871,1535612170651.0,2018-08-30T06:56:10.651000+00:00,pay,p56,,,,
u249110,1535633823481.0,2018-08-30T12:57:03.481000+00:00,pay,p64,,,,
u249286,1535651996660.0,2018-08-30T17:59:56.660000+00:00,pay,p56,,,,
u249209,1535654392190.0,2018-08-30T18:39:52.190000+00:00,enroll_coupon,c85,,,,
u248874,1535656130219.0,2018-08-30T19:08:50.219000+00:00,pay,p64,,,,
u15212,1535658528098.0,2018-08-30T19:48:48.098000+00:00,pay,p64,,,,
u249320,1535658811901.0,2018-08-30T19:53:31.901000+00:00,pay,p64,,,,
u249334,1535658821822.0,2018-08-30T19:53:41.822000+00:00,pay,p51,,,,
u249301,1535658834193.0,2018-08-30T19:53:54.193000+00:00,pay,p64,,,,
u248942,1535659111863.0,2018-08-30T19:58:31.863000+00:00,pay,p64,,,,
u248731,1535659904321.0,2018-08-30T20:11:44.321000+00:00,pay,p56,,,,
u248714,1535660415389.0,2018-08-30T20:20:15.389000+00:00,pay,p56,,,,
u248950,1535662185726.0,2018-08-30T20:49:45.726000+00:00,enroll_coupon,c85,,,,
u248642,1535662571875.0,2018-08-30T20:56:11.875000+00:00,pay,p56,,,,
u2384,1535663261553.0,2018-08-30T21:07:41.553000+00:00,pay,p47,,,,
u248853,1535663274076.0,2018-08-30T21:07:54.076000+00:00,pay,p56,,,,
u248918,1535664602281.0,2018-08-30T21:30:02.281000+00:00,pay,p51,,,,
