user_id,source_file,total_event_count,valid_timestamp_count,invalid_timestamp_count,has_pay,has_refund,pay_count,refund_count,payment_status,has_pay_then_refund,matched_pay_refund_pair_count,first_pay_timestamp,first_refund_timestamp,matched_pay_timestamp,first_refund_after_pay,pay_to_refund_hours,pay_to_refund_days,first_activity_timestamp,last_activity_before_refund,events_before_refund,active_days_before_refund,observation_days_before_refund,events_between_pay_refund,active_days_between_pay_refund,observation_days_between_pay_refund,first_learning_activity_timestamp,last_activity_timestamp,last_event_timestamp,pay_only_events_after_pay,pay_only_active_days_after_pay,pay_only_observation_days_after_pay,first_pay_days_before_data_end,first_pay_within_1_day_of_data_end,first_pay_within_3_days_of_data_end,first_pay_within_7_days_of_data_end,first_pay_within_14_days_of_data_end,first_pay_within_30_days_of_data_end
u1,u1.csv,3995,3995,0,1,0,1,0,pay_only,0,0,2019-08-29T13:06:32.237+00:00,,,,,,,,0,0,0.0,0,0,0.0,2019-08-06T12:55:51.269+00:00,2019-09-28T05:14:40.211+00:00,2019-09-28T05:14:40.211+00:00,2549,18,29.636347199074095,93.5194978125007,0,0,0,0,0
u10,u10.csv,5,5,0,0,0,0,0,neither,0,0,,,,,,,,,0,0,0.0,0,0,0.0,2019-08-30T06:38:28.108+00:00,2019-08-30T06:40:30.725+00:00,2019-08-30T06:40:30.725+00:00,,,,,0,0,0,0,0
u100,u100.csv,141,141,0,0,0,0,0,neither,0,0,,,,,,,,,0,0,0.0,0,0,0.0,2019-06-26T06:59:35.523+00:00,2019-06-29T21:29:19.216+00:00,2019-06-29T21:29:19.216+00:00,,,,,0,0,0,0,0
u1000,u1000.csv,8483,8483,0,1,0,1,0,pay_only,0,0,2019-02-03T18:31:21.827+00:00,,,,,,,,0,0,0.0,0,0,0.0,2019-02-03T03:19:44.295+00:00,2019-07-22T08:39:19.551+00:00,2019-07-22T08:39:19.551+00:00,7352,46,168.30359372685353,300.2939238541684,0,0,0,0,0
u10004,u10004.csv,10072,10072,0,0,0,0,0,neither,0,0,,,,,,,,,0,0,0.0,0,0,0.0,2019-06-20T14:29:39.722+00:00,2019-11-26T21:25:31.688+00:00,2019-11-26T21:25:31.688+00:00,,,,,0,0,0,0,0
u100043,u100043.csv,4658,4658,0,1,0,1,0,pay_only,0,0,2019-08-04T20:19:35.752+00:00,,,,,,,,0,0,0.0,0,0,0.0,2019-08-03T06:51:16.929+00:00,2019-09-13T06:41:27.184+00:00,2019-09-13T06:41:27.184+00:00,4616,21,37.592672037037985,118.21876268518467,0,0,0,0,0
u10005,u10005.csv,4006,4006,0,1,0,1,0,pay_only,0,0,2019-09-17T19:23:50.673+00:00,,,,,,,,0,0,0.0,0,0,0.0,2019-08-31T07:36:55.739+00:00,2019-10-15T23:36:02.823+00:00,2019-10-15T23:36:02.823+00:00,2116,12,28.02743537036909,74.25747887731427,0,0,0,0,0
u1001,u1001.csv,29,29,0,0,0,0,0,neither,0,0,,,,,,,,,0,0,0.0,0,0,0.0,2019-07-06T06:19:21.254+00:00,2019-07-06T06:24:07.248+00:00,2019-07-06T06:24:07.248+00:00,,,,,0,0,0,0,0
u10010,u10010.csv,915,915,0,1,0,1,0,pay_only,0,0,2019-07-28T15:30:02.623+00:00,,,,,,,,0,0,0.0,0,0,0.0,2019-07-29T00:01:59.055+00:00,2019-08-08T10:03:53.999+00:00,2019-08-08T10:03:53.999+00:00,914,7,10.417997037037104,125.41984056713129,0,0,0,0,0
u10011,u10011.csv,2343,2343,0,1,0,1,0,pay_only,0,0,2019-07-29T14:24:09.198+00:00,,,,,,,,0,0,0.0,0,0,0.0,2019-07-27T10:37:56.843+00:00,2019-08-26T23:22:21.050+00:00,2019-08-26T23:22:21.050+00:00,1543,11,27.834398645833133,124.46559780092703,0,0,0,0,0
u10013,u10013.csv,805,805,0,0,0,0,0,neither,0,0,,,,,,,,,0,0,0.0,0,0,0.0,2019-08-25T06:04:04.644+00:00,2019-09-28T05:18:49.616+00:00,2019-09-28T05:18:49.616+00:00,,,,,0,0,0,0,0
u10014,u10014.csv,4385,4385,0,0,0,0,0,neither,0,0,,,,,,,,,0,0,0.0,0,0,0.0,2019-06-04T13:44:16.484+00:00,2019-11-05T07:19:39.173+00:00,2019-11-05T07:19:39.173+00:00,,,,,0,0,0,0,0
u10015,u10015.csv,7967,7967,0,0,0,0,0,neither,0,0,,,,,,,,,0,0,0.0,0,0,0.0,2019-01-22T08:40:20.394+00:00,2019-04-12T03:47:30.777+00:00,2019-04-12T03:47:30.777+00:00,,,,,0,0,0,0,0
u10019,u10019.csv,16675,16675,0,0,0,0,0,neither,0,0,,,,,,,,,0,0,0.0,0,0,0.0,2019-04-03T00:20:05.706+00:00,2019-11-24T23:18:39.335+00:00,2019-11-24T23:18:39.335+00:00,,,,,0,0,0,0,0
u1002,u1002.csv,623,623,0,0,0,0,0,neither,0,0,,,,,,,,,0,0,0.0,0,0,0.0,2019-07-04T09:25:06.434+00:00,2019-07-10T21:54:28.107+00:00,2019-07-10T21:54:28.107+00:00,,,,,0,0,0,0,0
u10020,u10020.csv,895,895,0,1,0,1,0,pay_only,0,0,2019-03-29T22:30:50.561+00:00,,,,,,,,0,0,0.0,0,0,0.0,2019-03-30T06:16:38.324+00:00,2019-09-01T23:04:59.094+00:00,2019-09-01T23:04:59.094+00:00,894,6,155.70024039352106,246.12761906249932,0,0,0,0,0
