window_days,ratio,refund_users,pay_only_users,total_users,refund_rows,pay_only_rows,estimated_rows,estimated_bytes,estimated_mib,estimated_gib,positive_share,class_ratio
7,1:1,1096,1096,2192,212240,762265,974505,81172106,77.41175270080566,0.07559741474688053,0.5,1:1.000
7,1:2,1096,2192,3288,212240,1457194,1669434,139032857,132.5920648574829,0.12948443833738565,0.3333333333333333,1:2.000
7,1:3,1096,3288,4384,212240,2182082,2394322,199507044,190.26474380493164,0.18580541387200356,0.25,1:3.000
7,1:5,1096,5480,6576,212240,3599460,3811700,317703130,302.985315322876,0.29588409699499607,0.16666666666666666,1:5.000
14,1:1,1096,1096,2192,327046,1148105,1475151,122933220,117.23825454711914,0.11449048295617104,0.5,1:1.000
14,1:2,1096,2192,3288,327046,2197954,2525000,210357705,200.6127405166626,0.19591087941080332,0.3333333333333333,1:2.000
14,1:3,1096,3288,4384,327046,3334011,3661057,304987460,290.8587074279785,0.28404170647263527,0.25,1:3.000
14,1:5,1096,5480,6576,327046,5524149,5851195,487633334,465.0433864593506,0.45414393208920956,0.16666666666666666,1:5.000
30,1:1,1096,1096,2192,524491,1708382,2232873,185825242,177.21676063537598,0.17306324280798435,0.5,1:1.000
30,1:2,1096,2192,3288,524491,3331982,3856473,321098310,306.22321128845215,0.29904610477387905,0.3333333333333333,1:2.000
30,1:3,1096,3288,4384,524491,5042069,5566560,463470336,441.999755859375,0.4316403865814209,0.25,1:3.000
30,1:5,1096,5480,6576,524491,8371606,8896097,740892640,706.5702819824219,0.6900100409984589,0.16666666666666666,1:5.000
